Period Start,Period End,Beginning Inventory,Shipment,Transfer In,Transfer Out,RTV,Sales,Ending Inventory,Store,Period_Days,Calculated_Ending,Inventory_Discrepancy,Shrinkage_Rate,Year,Month,Quarter,Week_of_Year,Store_Category,High_Shrinkage_Flag,Large_Discrepancy_Flag,Zero_Sales_Flag
2023-08-28,2023-10-01,2283.0,200.0,0.0,4.0,0.0,154.0,2325.0,GALERIES_LAFAYETTE,35,2325.0,0.0,0.0,2023,8,3,35,GALERIES_Store,False,False,False
2023-10-02,2023-10-29,2325.0,86.0,0.0,0.0,0.0,116.0,2295.0,GALERIES_LAFAYETTE,28,2295.0,0.0,0.0,2023,10,4,40,GALERIES_Store,False,False,False
2023-10-30,2023-11-30,2295.0,64.0,3.0,0.0,0.0,115.0,2247.0,GALERIES_LAFAYETTE,32,2247.0,0.0,0.0,2023,10,4,44,GALERIES_Store,False,False,False
2023-12-01,2023-12-31,2247.0,227.0,48.0,0.0,0.0,352.0,2170.0,GALERIES_LAFAYETTE,31,2170.0,0.0,0.0,2023,12,4,48,GALERIES_Store,False,False,False
2024-01-01,2024-01-28,2170.0,407.0,16.0,1.0,0.0,363.0,2229.0,GALERIES_LAFAYETTE,28,2229.0,0.0,0.0,2024,1,1,1,GALERIES_Store,False,False,False
2024-01-29,2024-02-25,2229.0,310.0,1.0,0.0,587.0,92.0,1861.0,GALERIES_LAFAYETTE,28,1861.0,0.0,0.0,2024,1,1,5,GALERIES_Store,False,False,False
2024-02-26,2024-03-31,1861.0,366.0,7.0,0.0,0.0,161.0,2073.0,GALERIES_LAFAYETTE,35,2073.0,0.0,0.0,2024,2,1,9,GALERIES_Store,False,False,False
2024-04-01,2024-04-28,2073.0,96.0,0.0,0.0,0.0,149.0,2020.0,GALERIES_LAFAYETTE,28,2020.0,0.0,0.0,2024,4,2,14,GALERIES_Store,False,False,False
2024-04-29,2024-05-26,2020.0,34.0,0.0,0.0,0.0,78.0,1976.0,GALERIES_LAFAYETTE,28,1976.0,0.0,0.0,2024,4,2,18,GALERIES_Store,False,False,False
2024-05-27,2024-06-30,1976.0,173.0,1.0,1.0,0.0,171.0,1978.0,GALERIES_LAFAYETTE,35,1978.0,0.0,0.0,2024,5,2,22,GALERIES_Store,False,False,False
2024-07-01,2024-07-28,1978.0,205.0,6.0,3.0,0.0,156.0,2030.0,GALERIES_LAFAYETTE,28,2030.0,0.0,0.0,2024,7,3,27,GALERIES_Store,False,False,False
2024-07-29,2024-08-25,2030.0,0.0,0.0,0.0,471.0,71.0,1488.0,GALERIES_LAFAYETTE,28,1488.0,0.0,0.0,2024,7,3,31,GALERIES_Store,False,False,False
2024-08-27,2024-09-04,1488.0,173.0,0.0,0.0,0.0,42.0,1619.0,GALERIES_LAFAYETTE,9,1619.0,0.0,0.0,2024,8,3,35,GALERIES_Store,False,False,False
